Lot/Serial Number,Product,Class,Status,Shift,Manufactured On,Manufactured Nett,,,,,
2602002027,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Afternoon,12/02/2026 19:46:00,1.3535,,,,,
2602002044,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Afternoon,12/02/2026 21:15:00,1.3513,,,,,
2602002045,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Afternoon,12/02/2026 21:20:00,1.3524,,,,,
2602002106,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Night,13/02/2026 01:48:00,1.3514,,,,,
2602003060,"[DT13-11] 3/4"" DICED TOMATO - NO ADDS - GOODPACK STEEL BIN (2026, Stock)","[DT13] 3/4"" DICED TOMATO IN JUICE - GOODPACK",[Y] Wasted,Day,16/02/2026 12:39:00,1.3536,,,,,
2602003491,"[DT93-11] DICE TOMATO 3/4"" - CALC (NO SALT) - GOODPACK STEEL BIN (2026, Stock)","[DT93] 3/4"" DICED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Night,18/02/2026 01:12:00,1.351,,,,,
2602003563,"[DT93-11] DICE TOMATO 3/4"" - CALC (NO SALT) - GOODPACK STEEL BIN (2026, Stock)","[DT93] 3/4"" DICED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Day,18/02/2026 07:23:00,1.3497,,,,,
2602003569,"[DT93-11] DICE TOMATO 3/4"" - CALC (NO SALT) - GOODPACK STEEL BIN (2026, Stock)","[DT93] 3/4"" DICED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Day,18/02/2026 07:54:00,1.3512,,,,,
2602003690,"[DT93-11] DICE TOMATO 3/4"" - CALC (NO SALT) - GOODPACK STEEL BIN (2026, Stock)","[DT93] 3/4"" DICED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Afternoon,18/02/2026 18:09:00,1.3519,,,,,
2602003715,"[DT93-11] DICE TOMATO 3/4"" - CALC (NO SALT) - GOODPACK STEEL BIN (2026, Stock)","[DT93] 3/4"" DICED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Afternoon,18/02/2026 19:55:00,1.3543,,,,,
2602003831,"[DT93-11] DICE TOMATO 3/4"" - CALC (NO SALT) - GOODPACK STEEL BIN (2026, Stock)","[DT93] 3/4"" DICED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Day,19/02/2026 07:45:00,1.3517,,,,,
2602003835,"[DT93-11] DICE TOMATO 3/4"" - CALC (NO SALT) - GOODPACK STEEL BIN (2026, Stock)","[DT93] 3/4"" DICED TOMATO IN JUICE CALCIUM - GOODPACK",[Y] Wasted,Day,19/02/2026 08:05:00,1.3515,,,,,
2602004240,"[DT06-11] 1/2"" DICED - GOODPACK - GOODPACK STEEL BIN (2026, Stock)","[DT06] 1/2"" SKIN ON DICED TOMATO IN JUICE CALCIUM SALT GP",[Y] Wasted,Afternoon,20/02/2026 21:51:00,1.3535,,,,,
